"exposure","crop","crop_label","specification","cutoff_km","estimate","standard_error","p_value","vcov_fixed","vcov_warning","observations"
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 3",50,-0.0222050512487639,0.0312833303898954,0.477828229517185,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 3",100,-0.0222050512487639,0.0312450867254004,0.47728956836873,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 3",200,-0.0222050512487639,0.0148024536686209,0.133595952757727,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 3",250,-0.0222050512487639,0.0272212991681225,0.414661748056234,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 3",300,-0.0222050512487639,0.0220052729114272,0.312941193951062,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",57069
"Mean salinity","corn","Corn","Spec. 1",50,-0.0605083240063002,0.0143062887010239,2.3440276538213e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 1",100,-0.0605083240063002,0.0140173439185181,1.58530172524962e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 1",200,-0.0605083240063002,0.0151239348885489,6.31599546495196e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 1",250,-0.0605083240063002,0.0135733684618818,8.28565480907089e-06,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 1",300,-0.0605083240063002,0.0151298612619128,6.35795371419442e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 2",50,-0.0604359283124835,0.014467620523583,2.95178825578369e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 2",100,-0.0604359283124835,0.0143603991591453,2.57253103675796e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 2",200,-0.0604359283124835,0.0143868744025175,2.662124517828e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 2",250,-0.0604359283124835,0.0127452866726788,2.1205630110555e-06,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 2",300,-0.0604359283124835,0.0141050801869303,1.83142054126528e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 3",50,-0.0526385838073995,0.0136561352415476,0.000115994852206362,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 3",100,-0.0526385838073995,0.0132961997633522,7.53352647866178e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 3",200,-0.0526385838073995,0.0128692955360031,4.31211609027635e-05,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 3",250,-0.0526385838073995,0.0111088676895618,2.15640313754377e-06,FALSE,"",114025
"Mean salinity","corn","Corn","Spec. 3",300,-0.0526385838073995,0.0128235568009501,4.04885021109025e-05,FALSE,"",114025
"Mean salinity","rice","Rice","Spec. 1",50,0.0200311748194382,0.03436449845829,0.559960482148675,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 1",100,0.0200311748194382,0.031169569436655,0.520452400307485,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 1",200,0.0200311748194382,0.0320192516827685,0.531580915227595,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 1",250,0.0200311748194382,0.034083476998109,0.55672947303438,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 1",300,0.0200311748194382,0.0375397227338663,0.593620495571343,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 2",50,0.0164050575940885,0.0320769545539135,0.609052996265435,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 2",100,0.0164050575940885,0.0280938730909394,0.559264558644384,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 2",200,0.0164050575940885,0.0299693148732094,0.584109136958751,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 2",250,0.0164050575940885,0.0324430809606362,0.613099437294736,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 2",300,0.0164050575940885,0.0343244362311905,0.632693734796429,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 3",50,0.0151004620228818,0.029361564191221,0.607048516922608,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 3",100,0.0151004620228818,0.0246814814586215,0.540663304383377,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 3",200,0.0151004620228818,0.0244797296164181,0.537332001350558,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 3",250,0.0151004620228818,0.027478974479424,0.582645109533234,FALSE,"",66072
"Mean salinity","rice","Rice","Spec. 3",300,0.0151004620228818,0.0279512365043012,0.589031230637141,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",66072
"Mean salinity","cassava","Cassava","Spec. 1",50,-0.0136789119789409,0.0114985524757473,0.234198641610048,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 1",100,-0.0136789119789409,0.0126458158501766,0.279390976333492,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 1",200,-0.0136789119789409,0.0133170087546933,0.304340225943036,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 1",250,-0.0136789119789409,0.0124975342808672,0.273725892779318,FALSE,"",94296
