"year","total","corn","rice","cassava","beans","soy","sugarcane","total_crop_value_current_thousand","value_unit","corn_value_current_thousand","rice_value_current_thousand","cassava_value_current_thousand","beans_value_current_thousand","soy_value_current_thousand","sugarcane_value_current_thousand","selected_value_current_thousand","selected_value_share_pct","corn_value_share_pct","rice_value_share_pct","cassava_value_share_pct","beans_value_share_pct","soy_value_share_pct","sugarcane_value_share_pct","selected_area_ha","selected_share_pct","total_area_mha","selected_area_mha","corn_area_share_pct","corn_area_mha","rice_area_share_pct","rice_area_mha","cassava_area_share_pct","cassava_area_mha","beans_area_share_pct","beans_area_mha","soy_area_share_pct","soy_area_mha","sugarcane_area_share_pct","sugarcane_area_mha","mean_selected_share_pct","mean_selected_value_share_pct"
1998,42466107,11245838,3155379,1644457,3890966,13319749,5050153,37605623,"Mil Reais",3875030,2247187,2181681,1961422,6495000,6060685,22821005,60.6850869084126,10.3043898514858,5.97566752184906,5.8014754867909,5.21576786535354,17.2713532760779,16.1164329068554,38306542,90.204976877207,42.466107,38.306542,26.481914153327,11.245838,7.43034674687746,3.155379,3.87239875790828,1.644457,9.16252106650605,3.890966,31.3655993943594,13.319749,11.8921967582289,5.050153,89.9525015316886,63.1653178700625
1999,44459394,12418490,3851178,1635933,4670257,13069793,4975189,40554656,"Mil Reais",4819181,3117066,2302064,1800130,7294961,4892181,24225583,59.7356392321513,11.8831756333971,7.68608664810275,5.67644810006526,4.4387751680103,17.9879740565424,12.0631796260336,40620840,91.3661576223913,44.459394,40.62084,27.9322070831645,12.41849,8.66223682670978,3.851178,3.67961155745848,1.635933,10.5045448887585,4.670257,29.3971460789591,13.069793,11.190411187341,4.975189,89.9525015316886,63.1653178700625
2000,45573754,12648005,3704863,1736680,4441431,13693677,4879841,45160184,"Mil Reais",6037136,2586649,2585287,1658867,8658735,6652318,28178992,62.3978679980578,13.3682714844563,5.72772024135243,5.72470431032788,3.67329548524426,19.1733829073859,14.730493569291,41104497,90.1933533937099,45.573754,41.104497,27.7528267695481,12.648005,8.12937858926434,3.704863,3.81070209840515,1.73668,9.74558953383564,4.441431,30.0472877437307,13.693677,10.7075686589259,4.879841,89.9525015316886,63.1653178700625
2001,45371768,12912390,3171300,1735149,3879069,13988351,5022490,53866314,"Mil Reais",6317535,2998580,2393705,1934169,10978839,8683720,33306548,61.8318676863615,11.7281739381685,5.56670723747684,4.44378837579271,3.59068378059059,20.3816414837666,16.1208728705662,40708749,89.7226420623503,45.371768,40.708749,28.4590849534451,12.91239,6.98958876806388,3.1713,3.8242922338843,1.735149,8.54952136756055,3.879069,30.8305177792499,13.988351,11.0696369601467,5.02249,89.9525015316886,63.1653178700625
2002,48117461,12304986,3171955,1747147,4321809,16376035,5206656,74486446,"Mil Reais",8917534,3824430,3287435,3106596,17233232,11540275,47909502,64.3197582550791,11.9720223998874,5.13439720294884,4.4134673843883,4.17068630177361,23.1360642444936,15.4931207215874,43128588,89.6318864372332,48.117461,43.128588,25.5728081745627,12.304986,6.59210800835896,3.171955,3.6310041379781,1.747147,8.98178937579437,4.321809,34.0334561709314,16.376035,10.8207205696078,5.206656,89.9525015316886,63.1653178700625
2003,52110698,13343992,3193936,1647935,4378213,18527544,5377216,99820868,"Mil Reais",13522976,5894739,4372646,4008884,28584866,12288334,68672445,68.7956800776367,13.5472434481335,5.90531731300914,4.380492864478,4.01607808098804,28.6361625306644,12.3103858403636,46468836,89.1733133185052,52.110698,46.468836,25.6070106756198,13.343992,6.12913686168625,3.193936,3.16237368380673,1.647935,8.40175466465638,4.378213,35.5542042442034,18.527544,10.3188331885326,5.377216,89.9525015316886,63.1653178700625
2004,56662542,12864838,3774215,1776967,4325777,21601340,5633700,111225741,"Mil Reais",11595513,7750355,4954660,3082348,32627677,12149902,72160455,64.8774774177499,10.4252063378027,6.96813069557343,4.45459832899652,2.77125418296831,29.3346456554513,10.9236422169577,49976837,88.2008382186595,56.662542,49.976837,22.7043079006233,12.864838,6.66086424431858,3.774215,3.13605238536598,1.776967,7.63427980340169,4.325777,38.122786655071,21.60134,9.94254722987896,5.6337,89.9525015316886,63.1653178700625
2005,57964209,12249101,3999315,1929672,3965847,23426756,5815151,95554505,"Mil Reais",9459161,5014251,4081973,3475946,21750332,13148658,56930321,59.578897928465,9.89923081072944,5.24752966906165,4.27187917513675,3.63765790006447,22.7622256009803,13.7603747724924,51385842,88.6509846101756,57.964209,51.385842,21.1321800319918,12.249101,6.89962835514585,3.999315,3.32907501592923,1.929672,6.84188927688119,3.965847,40.4158987143256,23.426756,10.0323132159019,5.815151,89.9525015316886,63.1653178700625
2006,56072355,12997372,3010169,1974419,4243474,22082666,6392846,98999705,"Mil Reais",9955266,4305559,4373156,3557632,18470711,17653323,58315647,58.904869464005,10.0558542068383,4.34906245427701,4.41734245571742,3.59357838490529,18.6573394334862,17.8316925287808,50700946,90.4205753441246,56.072355,50.700946,23.1796435159536,12.997372,5.36836556980708,3.010169,3.52119863701105,1.974419,7.56785406997798,4.243474,39.3824479103829,22.082666,11.4010656409919,6.392846,89.9525015316886,63.1653178700625
2007,55887379,14010838,2915316,1941104,3975900,20571393,7086851,116583679,"Mil Reais",15616489,4572156,4976437,3880952,25794985,19080325,73921344,63.4062543179822,13.3950902338568,3.92178050925979,4.26855374841962,3.3288982070981,22.1257256772623,16.3662059420856,50501402,90.3628026642652,55.887379,50.501402,25.0697711195224,14.010838,5.21641209905371,2.915316,3.47324214291746,1.941104,7.11412857632848,3.9759,36.8086558505454,20.571393,12.6805928758978,7.086851,89.9525015316886,63.1653178700625
